date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:59:57	1176/1176	---M--	200	added ('OK')	image/png	etag:W/%22498-1534df17f83%22	http://linify.me/android-chrome-192x192.png	C:/My%20Web%20Sites/linify/linify.me/android-chrome-192x192.png	(from http://linify.me/)
13:59:58	735/735	---M--	200	added ('OK')	image/png	etag:W/%222df-1534df17f83%22	http://linify.me/favicon-96x96.png	C:/My%20Web%20Sites/linify/linify.me/favicon-96x96.png	(from http://linify.me/)
13:59:58	377/377	---M--	200	added ('OK')	image/png	etag:W/%22179-1534df17f83%22	http://linify.me/favicon-16x16.png	C:/My%20Web%20Sites/linify/linify.me/favicon-16x16.png	(from http://linify.me/)
13:59:58	716/716	---M--	200	added ('OK')	application/json	etag:W/%222cc-1534df17f83%22	http://linify.me/manifest.json	C:/My%20Web%20Sites/linify/linify.me/manifest.json	(from http://linify.me/)
13:59:59	1124/1124	---M--	200	added ('OK')	image/svg+xml	etag:W/%22464-1534df17f83%22	http://linify.me/safari-pinned-tab.svg	C:/My%20Web%20Sites/linify/linify.me/safari-pinned-tab.svg	(from http://linify.me/)
13:59:59	951/951	---M--	200	added ('OK')	image/png	etag:W/%223b7-1534df17f83%22	http://linify.me/mstile-144x144.png	C:/My%20Web%20Sites/linify/linify.me/mstile-144x144.png	(from http://linify.me/)
13:59:59	2319/2319	---M--	200	added ('OK')	image/png	etag:W/%2290f-153301eed8e%22	http://linify.me/images/linify.png	C:/My%20Web%20Sites/linify/linify.me/images/linify.png	(from http://linify.me/)
14:00:00	5545/5545	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Feb%202021%2010:10:45%20GMT	http://linify.me/about	C:/My%20Web%20Sites/linify/linify.me/about.html	(from http://linify.me/)
14:00:00	18394/18394	---M--	200	added ('OK')	application/javascript	etag:W/%2247da-153df5b3ab7%22	http://linify.me/javascripts/linesv2.js	C:/My%20Web%20Sites/linify/linify.me/javascripts/linesv2.js	(from http://linify.me/)
14:00:01	5118/5118	---M--	200	added ('OK')	application/javascript	etag:W/%2213fe-15359b08c35%22	http://linify.me/javascripts/FileSaver.min.js	C:/My%20Web%20Sites/linify/linify.me/javascripts/FileSaver.min.js	(from http://linify.me/)
14:00:01	3260/3260	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2016%20Feb%202021%2010:10:46%20GMT	http://linify.me/Download	C:/My%20Web%20Sites/linify/linify.me/Download	(from http://linify.me/)
14:00:02	3224/3224	---M-Z	200	added ('OK')	application/x-javascript	etag:%22f281ca1ad0e78ff13013dec96192b314%22	http://connect.facebook.net/en_US/sdk.js	C:/My%20Web%20Sites/linify/connect.facebook.net/en_US/sdk.js	(from http://linify.me/)
14:00:04	47051/47051	---MC-	200	added ('OK')	text/javascript	date:Fri,%2023%20Oct%202020%2003:00:57%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/linify/www.google-analytics.com/analytics.js	(from http://linify.me/)
14:00:05	97317/97317	---M-Z	200	added ('OK')	application/javascript	etag:%2211a0c75a945561958f0b924da0e67334+gzip%22	https://platform.twitter.com/widgets.js	C:/My%20Web%20Sites/linify/platform.twitter.com/widgets.js	(from http://linify.me/)
14:00:06	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2016%20Feb%202021%2010:00:03%20GMT	http://imgur.com/IEno9Ht.png	C:/My%20Web%20Sites/linify/imgur.com/IEno9Ht.1b.delayed	(from http://linify.me/about)
14:00:07	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2016%20Feb%202021%2010:00:04%20GMT	https://imgur.com/IEno9Ht.png	C:/My%20Web%20Sites/linify/imgur.com/IEno9Ht.1c.delayed	(from http://linify.me/about)
14:00:08	67544/67544	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Feb%202021%2010:10:49%20GMT	http://linify.me/IEno9Ht	C:/My%20Web%20Sites/linify/linify.me/IEno9Ht.html	(from http://linify.me/about)
14:00:09	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2016%20Feb%202021%2010:00:07%20GMT	http://imgur.com/LNHvhuE.png	C:/My%20Web%20Sites/linify/imgur.com/LNHvhuE.1f.delayed	(from http://linify.me/about)
14:00:11	67544/67544	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Feb%202021%2010:10:54%20GMT	http://linify.me/LNHvhuE	C:/My%20Web%20Sites/linify/linify.me/LNHvhuE.html	(from http://linify.me/about)
14:00:11	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2016%20Feb%202021%2010:00:08%20GMT	https://imgur.com/LNHvhuE.png	C:/My%20Web%20Sites/linify/imgur.com/LNHvhuE.20.delayed	(from http://linify.me/about)
14:00:14	508395/508395	---M--	200	added ('OK')	image/png	etag:%2205b67e003a0d236a1e7dd0976bf3c059%22	https://i.imgur.com/IEno9Ht.png	C:/My%20Web%20Sites/linify/i.imgur.com/IEno9Ht.png	(from http://linify.me/about)
14:00:15	739743/739743	---M--	200	added ('OK')	image/png	etag:%22ba633b35edba16a9f61942421193885d%22	https://i.imgur.com/LNHvhuE.png	C:/My%20Web%20Sites/linify/i.imgur.com/LNHvhuE.png	(from http://linify.me/about)
